epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,1.318253,0.559400,1.005039,0.680500,0.1210
2,0.693539,0.780000,0.776765,0.754000,0.1232
3,0.487087,0.849600,0.732808,0.765000,0.1226
4,0.355380,0.891800,0.535812,0.831000,0.1220
5,0.291709,0.910000,0.528816,0.840000,0.1221
6,0.210267,0.937200,0.483854,0.859000,0.1226
7,0.160410,0.952800,0.519658,0.848500,0.1232
8,0.160587,0.947000,0.501678,0.848000,0.1226
9,0.127109,0.959800,0.469768,0.864000,0.1225
10,0.068119,0.982600,0.502077,0.849500,0.1225
11,0.075801,0.976200,0.510749,0.861000,0.1230
12,0.065257,0.980600,0.541410,0.849500,0.1236
13,0.041544,0.988800,0.559710,0.852500,0.1217
14,0.092020,0.970600,0.570303,0.856500,0.1225
15,0.078664,0.974400,0.495418,0.864500,0.1226
