epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,1.429800,0.508400,0.880110,0.724500,0.3537
2,0.672924,0.779000,0.673917,0.782500,0.3592
3,0.519843,0.830200,0.659367,0.793000,0.3588
