epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,1.318253,0.559400,1.005039,0.680500,0.1192
2,0.693539,0.780000,0.776765,0.754000,0.1200
3,0.487087,0.849600,0.732808,0.765000,0.1210
