epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,1.429800,0.508400,0.880110,0.724500,0.4252
2,0.672924,0.779000,0.673917,0.782500,0.3476
3,0.519843,0.830200,0.659367,0.793000,0.3524
4,0.458700,0.851000,0.539528,0.828000,0.3477
5,0.375535,0.879400,0.596024,0.801500,0.3486
6,0.341883,0.892000,0.548744,0.818000,0.3503
7,0.281562,0.905800,0.574563,0.826000,0.3478
8,0.257020,0.913200,0.577960,0.817500,0.3500
9,0.236842,0.919600,0.533930,0.840000,0.3499
10,0.248047,0.917400,0.545180,0.837500,0.3478
11,0.174402,0.938800,0.478601,0.860500,0.3493
12,0.121317,0.960000,0.507530,0.853500,0.3503
13,0.119881,0.958000,0.476555,0.874000,0.3495
14,0.106961,0.965600,0.491736,0.861500,0.3479
15,0.113708,0.963000,0.482483,0.869500,0.3495
