epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,0.786908,0.749400,0.468245,0.854500,0.0492
2,0.284019,0.919200,0.386646,0.880000,0.0529
3,0.163950,0.953400,0.384625,0.876500,0.0655
